Song lyrics	Mood	Offensive
you are doing fine, du ru cha cha cha	0	0
sare mare jayenge sare mare jayenge 	0	0
aaja re ab, aaja re ab laut ke tu aaja	0	0
puchhtee hain mujhse tu chala hai kidhar kidhar kidhar	0	0
jivan ki bagiya	0	0
jee mai khush hu mere sona 	0	0
ho rut pyaar karan kee aayee ho oh	0	0
dil ke aramaa aansuo me bah gaye	0	0
nashe me hun lekin mujhe ye khabar hai	0	0
singapur singapur singapur	0	0
khoye se ham, khoi si manzil achchha hai sambhal jaye	0	0
meri jan wah wah 	0	0
o mere dil ke chain 	0	0
yad kar tune kaha tha, pyar se sansar hai	0	0
pite pite kabhi-kabhi yu jaam badal jaate hai 	0	0
dil ki bate dil hi jane aankhe chhede sau afsane	0	0
haye chhod diya	0	0
aasmanon se utar aayi thi jo raat ki raat	0	0
tum dekhoge us roz mujhe mai apni jaan pe jis din khela	0	0
yahin sab kuchh chukaanaa hai	0	0
pyase pyase dil me hai arman hazaro	0	0
jagata hai rat bhar aur ahe bharata hai, bolo bolo	0	0
meri bhi aankho me jage o khwab nayi manzil ke	0	0
dal ka dana lai chidiya	0	0
aa hamari na mano, hamari na mano sipahiya se puchho	0	0
o ek do baras jara dur rahna	0	0
raah-e-vafaa se tere bahak jaaege qadam	0	0
tauba tuba al habibi khubas, marhaba aye dilruba tauba	0	0
daur par daur chale, aao lag jaao gale	0	0
ki mele lag gaye mach gai dhum re	0	0
isake pinese tabiyat me ravaani aaye	0	0
jitna tadapayegi mujhko utna hi tadapegi tu bhi	0	0
hai pyas badi jivan thoda	0	0
dil diwana diwane ko kaise samjhate	0	0
lo jee mem sahab hamra pishta nahi kacha	0	0
aaja jara, aaja jara	0	0
luta tere gesu bikharane me	0	0
ni:	noori noori	0	0
hans ke zara dekh ladaki, sharama na, sharama na, sharama na 	0	0
jahaan bhi hai, aa jaa mere paas	0	0
zamane mein sabse purani yahi pyar ki hai kahani	0	0
thehar jaiyega thehar jaiyega 	0	0
ye bahaare yeh phuvaare ye barasta saavan	0	0
hai bas ki har ek unke ishaare me nishaan aur	0	0
ka_i saal hamane guzaare yahaan	0	0
ho dil leke daga de oh 	0	0
paanee lene ke bahaane aaja 	0	0
sach hai duniyavalo ki ham hai anadi	0	0
jab jab woh muskuraayega apna sawera hoga	0	0
prit jagaye hame nind naa aaye re nind na aaye	0	0
nadiya kaa pani dariya se milke	0	0
ajaan pe bhi zara rakhna nazar phir karna koi aghaat	0	0
sadiyo se hota hai jo aakhir to vahi hoyega	0	0
jalwe phir dekh gori meri bhi chal ke	0	0
ho apna dil gata hai 	0	0
huaa nahi vo niraash, chali jab tak saans	0	0
meraa dil teree aankho me kho jayega	0	0
sut pahan kar tum dekho naqali sapna	0	0
aisi hai aankhe teri, jaise ki koi gazal	0	0
mere man ki vina me tere rag jage	0	0
oo aaja aaja, mai hu pyaar tera 	0	0
dil ki aavaaz bhi sun mere fasaane pe na jaa	0	0
allah kare jore shabab aur jyada	0	0
ek do baras jara dur rahna	0	0
o hansani meri hansani, kaha ud chali	0	0
ye rat jaise dulhan ban gayi charagon se	0	0
oo sau rab di mai mar java ladayi thi ye to jhuthi	0	0
tere bina jiya jaye na, tere bina jiya jaye na	0	0
ab chaahe lag jaaye hatkadiya maine teri baah pakadli	0	0
kyu, ho tera mera milan bada mushkil hai	0	0
we are made for each other samjhe	0	0
talim hai adhuri, milati nahi majuri	0	0
sag tere naam ke	0	0
maine dekha hai ki kohare se bahri vadi me	0	0
aapake qaram se hai hamaari zindagi	0	0
hey jai jai shiv shankar kaanta lage na kankar	0	0
lipati hai too meri hi baho se	0	0
mohe un bin kachhu na suhaye re	0	0
ek saheli ka miya sharabi, miya sharabi, miya sharabi	0	0
la la la  	0	0
ulfat ki may aankho se lo, aaj pi lene vale aa gae	0	0
gam ki duniyaa kaa dar chhod kar	0	0
dhire se jana bagiyan me o bhawra	0	0
bijali nazaro ne kai din na girai hogi	0	0
thandi safed chaadaro pe jage der tak	0	0
ye kisne kaha hai ki darte hai ham, huzurevaala	0	0
hoy hoy hari hari main hoon uski lalpari	0	0
dard bhare dil ki zubaan	0	0
baithe baithe jine ka sahara ho gaya ) - 2	0	0
ban ke tamasha mele me aaya	0	0
anjaan hai pareshan hai, bhuli hai ghar ka rasta	0	0
haay jiyra moh liya, ho jiyra moh liya	0	0
sab to laye phul buddha gobhi le kar aa gaya	0	0
laut ke ana hai yahi tumko	0	0
aiyo muthukodi kawadi hada 	0	0
sadako pe ghumata hai, ab karavan hamara	0	0
is jami se alag aasmano se dur 	0	0
ai maan, ai maan teri surat se alag	0	0
ruk ja zara ha kidhar ko chala ha	0	0
phulo si najuk hai woh, motar me baithi hai jo	0	0
chuha bhi aya bandar bhi aaya	0	0
ab chaahe rab ruthe ya duniya	0	0
munne ki amma ye to bata, tere bitua ke aba ka naam kya hai 	0	0
ae mere khwab ki tabir, meri jaan-e-ghazal	0	0
kuchh aur na aata ho hamko, hame pyaar nibhana aata hai	0	0
samjhauta gumo se kar lo, samjhauta gumo se kar lo	0	0
 mere binaa tu na rahe	0	0
sun ri pavan	0	0
ja ja aiso ko rakhti hu ma ighise me dal ke	0	0
tadap tadap ke kitna pukaru, kitne aahe bahrun	0	0
palke fir bhi pyasi	0	0
uf ye nazar uf ye adaa	0	0
mori kaya aise tadpe jaise tadpe jal me machliya	0	0
na jaane kahaan se hawaa aa rahi hai	0	0
aha aaj tu hume nachaye	0	0
logo ki baat nahi hai, ye kissa hai apno ka	0	0
wafaa ki raah me ek dip saa jalayaa hai	0	0
are tujh par devi kisi rog ki padi vikat chhaya hai	0	0
surama idhar se jhalka, gussa udhar kaa halka	0	0
tere naseeb mein main hoon ke nahi 	0	0
ye na socho isme apni haar hai ki jit hai  	0	0
o basanti pawan pagal na ja re na ja roko koi	0	0
jab dil pe chhuriya chalti hai, toh chain se koyi sota hai	0	0
koi nahi tera koi nahi mera	0	0
tere hatho me hai meri naiya	0	0
to vahi pe rok lege, unhe aake mere aansu	0	0
nazo ada se chand ke aage ghunghat jab sarakaye 	0	0
sach puchho to man ko jhuthe lagate hai ye saare 	0	0
gunj uthi chham-chham chham-chham	0	0
are aapas me takdhin takdhin ho gaya, abb kya rah gaya baki 	0	0
hamrah tere koi apna to hai	0	0
yuhi koi mil gaya tha sar-e-raah chalte-chalte	0	0
tera nam hi lena chhod diya haye chhod diya	0	0
hindu vo musalman, sikh pathan chal pade	0	0
tu kaha gaya tha teri mar jaye sajaniya	0	0
aha aha sipahi aha aha	0	0
hoy gaya dekhne mela gaya dekhne mela	0	0
jitna jata hai jane de jane de tu jane de aane de tu aane de	0	0
phal paye lagayega jo paudha	0	0
jiyaraa re jhume aise 	0	0
teri duniyaa se ham, le ke chale teraa gam	0	0
sabki sun li lekin kiya wahi jo man me aaya	0	0
tumhe apna kahne ki chah me	0	0
bikhraye jab laila jaise baal	0	0
ye sochte hi sochte savera ho gaya	0	0
kachche hain tere yeh resham ke dhaage	0	0
karana tha inkaar magar iqaraar tumhin se kar baithe	0	0
jag dole, sang hole, aur bole	0	0
aa dil kya mehfil hai tere kadmo me aa	0	0
tumhari khata khud saja ho gayi	0	0
nae rag jivan me lata raha mai	0	0
ki khushabu aa nahi sakati, kabhi kaagaz ke phulo se !	0	0
koi phul banke hum teri zulf chumte	0	0
fir kabhi fursat se sochege bura tha ya bhala 	0	0
wo to har roj rulaate hai ghataao ki tarah 	0	0
chaahat ki khushabu yun hi zulfo	0	0
o meri lottery lag jaane e waali hai, o hasino	0	0
koi dekhe mohabbat ki majburiya	0	0
ho lala ho lala, ho lala ho lala	0	0
chadhti javani meri chaal mastani tune kadar na jani rama 	0	0
sada has ke rahe aankhe sada ye honth muskaye	0	0
dali-dali koyal kali tere git gaye	0	0
mere dil se na lo badala zamane bhar ki baato ka 	0	0
dekhne-sunane vaala duja aur yahaan par koyi nahi	0	0
tumhen aur kya duun main dil ke sivay 	0	0
sagar me zindgi ko utare chale gaye, ham	0	0
duniya hai do din ka mela	0	0
jo din ke ujale me na mila	0	0
kuchh naa boli haay, haay, haay	0	0
karte ho kyo hera pheri yaro pe tohmat lagate nahi	0	0
parde ke pichhe, parda-nashi hai	0	0
laut key aaye shan se raja dware	0	0
ban savar ke nikale ae savan ka jab jab mahina	0	0
ya lala roshandaan	0	0
ladki chale jab sadko pe, aaye kyamat ladko pe 	0	0
chaye wo is kadar ke mere hosh ud gaye	0	0
maine kya ji, oy ki gal hai, koyi nahi ji koyi nahi	0	0
ke aaja teri yaad aayi ke aaja teri yaad aayi	0	0
ek ek pal yaha jhumke ji le	0	0
thodhi der ko aate ho chale jaate ho	0	0
